web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,Adj Close**,Volume,Empresa
1615775549-3710,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Oct 07, 2020","1,464.29","1,468.96","1,436.00","1,460.29","1,460.29","1,746,200",Google
1615775549-3713,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Oct 02, 2020","1,462.03","1,483.20","1,450.92","1,458.42","1,458.42","1,284,100",Google
1615775549-3766,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 20, 2020","1,515.26","1,570.29","1,503.60","1,565.72","1,565.72","1,557,300",Google
1615775549-3792,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 11, 2020","1,442.48","1,454.47","1,402.00","1,403.84","1,403.84","1,991,300",Google
1615775549-3825,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 24, 2020","1,261.17","1,280.40","1,249.45","1,279.31","1,279.31","1,639,600",Google
1615775549-3687,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 09, 2020","1,790.90","1,818.06","1,760.02","1,763.00","1,763.00","2,268,300",Google
1615775549-3827,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 22, 2020","1,245.54","1,285.61","1,242.00","1,263.21","1,263.21","2,092,400",Google
1615775549-3650,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 04, 2021","1,757.54","1,760.65","1,707.85","1,728.24","1,728.24","1,901,900",Google
1615775549-3810,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 15, 2020","1,350.00","1,374.48","1,339.00","1,373.19","1,373.19","1,707,700",Google
1615775549-3632,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 29, 2021","1,846.17","1,857.28","1,810.20","1,835.74","1,835.74","1,612,600",Google
1615775549-3651,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Dec 31, 2020","1,735.42","1,758.93","1,735.42","1,751.88","1,751.88","1,011,900",Google
1615775549-3670,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Dec 03, 2020","1,824.01","1,847.20","1,822.65","1,826.77","1,826.77","1,227,300",Google
1615775549-3617,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 22, 2021","2,067.00","2,091.42","2,062.14","2,064.88","2,064.88","1,367,500",Google
1615775549-3760,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 28, 2020","1,525.18","1,526.48","1,497.66","1,500.34","1,500.34","1,702,200",Google
1615775549-3703,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Oct 16, 2020","1,565.85","1,581.13","1,563.00","1,573.01","1,573.01","1,434,700",Google
1615775549-3717,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 28, 2020","1,474.21","1,476.80","1,449.30","1,464.52","1,464.52","2,007,900",Google
1615775549-3752,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 07, 2020","1,500.00","1,516.84","1,481.64","1,494.49","1,494.49","1,577,800",Google
1615775549-3692,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 02, 2020","1,628.16","1,660.77","1,616.03","1,626.03","1,626.03","2,535,400",Google
1615775549-3788,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 17, 2020","1,447.16","1,460.00","1,431.38","1,451.12","1,451.12","1,549,600",Google
1615775549-3665,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Dec 10, 2020","1,769.80","1,781.31","1,740.32","1,775.33","1,775.33","1,362,800",Google
1615775549-3708,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Oct 09, 2020","1,494.70","1,516.52","1,489.45","1,515.22","1,515.22","1,435,300",Google
1615775549-3817,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 06, 2020","1,361.69","1,371.12","1,347.29","1,347.30","1,347.30","1,215,400",Google
1615775549-3842,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 31, 2020","1,147.30","1,175.31","1,138.14","1,162.81","1,162.81","2,486,400",Google
1615775549-3669,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Dec 04, 2020","1,824.52","1,833.16","1,816.99","1,827.99","1,827.99","1,378,200",Google
1615775549-3681,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 17, 2020","1,776.94","1,785.00","1,767.00","1,770.15","1,770.15","1,147,100",Google
1615775549-3844,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 27, 2020","1,125.67","1,150.67","1,105.91","1,110.71","1,110.71","3,208,500",Google
1615775549-3663,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Dec 14, 2020","1,775.00","1,797.39","1,757.21","1,760.06","1,760.06","1,600,200",Google
1615775549-3622,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 12, 2021","2,090.25","2,108.82","2,083.13","2,104.11","2,104.11","855,700",Google
1615775549-3714,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Oct 01, 2020","1,484.27","1,499.04","1,479.21","1,490.09","1,490.09","1,779,500",Google
1615775549-3739,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 26, 2020","1,608.00","1,659.22","1,603.60","1,652.38","1,652.38","3,993,400",Google
1615775549-3678,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 20, 2020","1,765.21","1,774.00","1,741.86","1,742.19","1,742.19","2,313,500",Google
1615775549-3732,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 04, 2020","1,624.26","1,645.11","1,547.61","1,591.04","1,591.04","2,608,600",Google
1615775549-3735,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 01, 2020","1,636.63","1,665.73","1,632.22","1,660.71","1,660.71","1,825,300",Google
1615775549-3690,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 04, 2020","1,710.28","1,771.36","1,706.03","1,749.13","1,749.13","3,570,900",Google
1615775549-3813,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 12, 2020","1,407.12","1,415.00","1,374.77","1,375.74","1,375.74","1,390,600",Google
1615775549-3625,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 09, 2021","2,078.54","2,105.13","2,078.54","2,083.51","2,083.51","889,900",Google
1615775549-3808,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 19, 2020","1,387.00","1,392.00","1,373.48","1,373.48","1,373.48","1,280,600",Google
1615775549-3757,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 31, 2020","1,505.01","1,508.95","1,454.03","1,482.96","1,482.96","3,439,900",Google
1615775549-3775,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 07, 2020","1,490.00","1,516.80","1,483.55","1,485.18","1,485.18","1,458,200",Google
1615775549-3621,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 16, 2021","2,104.36","2,152.68","2,104.36","2,121.90","2,121.90","1,133,800",Google
1615775549-3639,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 20, 2021","1,831.46","1,903.71","1,825.53","1,886.90","1,886.90","2,490,300",Google
1615775549-3754,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 05, 2020","1,469.30","1,482.41","1,463.46","1,473.61","1,473.61","1,979,500",Google
1615775549-3733,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 03, 2020","1,709.71","1,709.71","1,615.06","1,641.84","1,641.84","3,107,800",Google
1615775549-3649,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 05, 2021","1,725.00","1,747.67","1,718.02","1,740.92","1,740.92","1,145,300",Google
1615775549-3840,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 02, 2020","1,098.26","1,126.86","1,096.40","1,120.84","1,120.84","1,964,900",Google
1615775549-3691,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 03, 2020","1,631.78","1,661.70","1,616.62","1,650.21","1,650.21","1,661,700",Google
1615775549-3794,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 09, 2020","1,445.36","1,468.00","1,443.21","1,456.16","1,456.16","1,409,200",Google
1615775549-3852,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 17, 2020","1,093.11","1,130.86","1,056.01","1,119.80","1,119.80","3,861,500",Google
1615775549-3684,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 12, 2020","1,747.63","1,768.27","1,745.60","1,749.84","1,749.84","1,247,500",Google
1615775549-3640,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 19, 2021","1,752.25","1,809.28","1,741.46","1,790.86","1,790.86","1,734,600",Google
1615775549-3830,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 17, 2020","1,284.85","1,294.43","1,271.23","1,283.25","1,283.25","1,949,000",Google
1615775549-3734,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 02, 2020","1,673.78","1,733.18","1,666.33","1,728.28","1,728.28","2,511,200",Google
1615775549-3818,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 05, 2020","1,337.92","1,373.94","1,337.46","1,351.11","1,351.11","1,651,500",Google
1615775549-3674,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Nov 27, 2020","1,773.09","1,804.00","1,772.44","1,793.19","1,793.19","884,900",Google
1615775549-3727,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 14, 2020","1,539.01","1,564.00","1,515.74","1,519.28","1,519.28","1,696,600",Google
1615775549-3803,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 27, 2020","1,417.25","1,421.74","1,391.29","1,417.84","1,417.84","1,685,800",Google
1615775549-3823,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 28, 2020","1,287.93","1,288.05","1,232.20","1,233.67","1,233.67","2,951,300",Google
