web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,name
"1620589819-864","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2016","98.00","129.29","97.63","124.87","Netflix, Inc. (NFLX)"
"1620589824-971","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2019","47.91","52.12","47.10","50.17","Apple Inc. (AAPL)"
"1620589830-1106","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","3,061.74","3,366.80","2,950.12","3,168.04","Amazon.com, Inc. (AMZN)"
"1620589835-1321","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2013","24.27","25.19","22.67","24.88","Facebook, Inc. (FB)"
"1620589814-765","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2014","559.16","580.86","537.27","573.70","Alphabet Inc. (GOOG)"
"1620589824-1077","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2012","23.78","25.18","23.43","23.83","Apple Inc. (AAPL)"
"1620589835-1239","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","161.62","209.69","150.83","204.71","Facebook, Inc. (FB)"
"1620589835-1296","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2015","86.77","99.24","85.23","94.01","Facebook, Inc. (FB)"
"1620589819-922","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2012","10.04","18.50","10.02","17.17","Netflix, Inc. (NFLX)"
"1620589819-934","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2011","25.00","31.14","24.79","30.58","Netflix, Inc. (NFLX)"
"1620589835-1237","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","224.59","245.19","207.11","227.07","Facebook, Inc. (FB)"
"1620589824-1040","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2014","29.70","29.81","26.57","27.59","Apple Inc. (AAPL)"
"1620589835-1275","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2017","141.93","151.53","138.81","150.25","Facebook, Inc. (FB)"
"1620589814-723","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2017","1,017.21","1,062.38","1,013.01","1,021.41","Alphabet Inc. (GOOG)"
"1620589830-1149","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2017","888.00","949.59","884.49","924.99","Amazon.com, Inc. (AMZN)"
"1620589824-1011","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2016","28.18","29.67","28.07","28.39","Apple Inc. (AAPL)"
"1620589830-1193","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2013","303.08","306.21","279.33","280.98","Amazon.com, Inc. (AMZN)"
"1620589830-1156","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2016","770.90","839.95","756.00","837.31","Amazon.com, Inc. (AMZN)"
"1620589814-793","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2012","309.97","328.07","295.81","319.42","Alphabet Inc. (GOOG)"
"1620589824-1044","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2014","25.76","25.93","24.03","25.19","Apple Inc. (AAPL)"
"1620589830-1150","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2017","853.05","890.35","833.50","886.54","Amazon.com, Inc. (AMZN)"
"1620589824-936","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 07, 2021","0.22 Dividend","null","null","null","Apple Inc. (AAPL)"
"1620589819-870","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2016","102.93","111.85","88.21","90.03","Netflix, Inc. (NFLX)"
"1620589824-983","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2018","45.96","48.99","45.85","47.57","Apple Inc. (AAPL)"
"1620589814-682","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2021","2,097.95","2,452.38","2,096.89","2,410.12","Alphabet Inc. (GOOG)"
"1620589814-761","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2014","574.43","579.41","506.71","557.55","Alphabet Inc. (GOOG)"
"1620589819-837","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2019","259.28","358.85","256.58","339.50","Netflix, Inc. (NFLX)"
"1620589835-1231","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","279.16","291.78","264.63","273.16","Facebook, Inc. (FB)"
"1620589830-1134","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2018","1,682.70","1,880.05","1,678.06","1,777.44","Amazon.com, Inc. (AMZN)"
"1620589830-1141","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2017","1,172.05","1,194.78","1,124.74","1,169.47","Amazon.com, Inc. (AMZN)"
"1620589814-766","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2014","525.67","566.29","501.92","558.36","Alphabet Inc. (GOOG)"
"1620589830-1152","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2017","757.92","843.84","747.70","823.48","Amazon.com, Inc. (AMZN)"
"1620589819-852","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2017","182.11","204.38","176.58","196.43","Netflix, Inc. (NFLX)"
"1620589819-888","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2014","56.18","56.50","49.14","49.51","Netflix, Inc. (NFLX)"
"1620589814-779","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2013","410.09","458.58","406.66","433.98","Alphabet Inc. (GOOG)"
"1620589835-1233","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","265.35","285.24","254.82","263.11","Facebook, Inc. (FB)"
"1620589819-918","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2012","11.47","11.85","8.91","9.06","Netflix, Inc. (NFLX)"
"1620589835-1225","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 07, 2021","322.38","322.93","318.75","319.08","Facebook, Inc. (FB)"
"1620589835-1276","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2017","136.47","142.95","136.08","142.05","Facebook, Inc. (FB)"
"1620589814-782","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2013","377.68","402.97","377.63","399.10","Alphabet Inc. (GOOG)"
"1620589830-1221","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2011","181.58","197.80","175.37","195.81","Amazon.com, Inc. (AMZN)"
"1620589835-1288","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2016","107.83","116.99","104.40","114.10","Facebook, Inc. (FB)"
